X,Y,osm_id,code,fclass,name,Diff,icon_url
-3.9408763,5.3075943,"3369180115","3300",muslim,Mosquée Sangaré,Mosquee,./1.png
-3.935325,5.310961,"3369265167","3102",christian_catholic,Chapelle Saint André,Eglise,./0.png
-3.9358039,5.3105494,"3369265168","3100",christian,Christ Light Apostolic Church,Eglise,./0.png
-4.0014628,5.4002576,"3374117291","3102",christian_catholic,Paroisse Sainte Monique,Eglise,./0.png
-4.0789124,5.34864,"3401914852","3300",muslim,,Mosquee,./1.png
-4.4145517,5.2038899,"3441516305","3102",christian_catholic,Église Saint-Pierre,Eglise,./0.png
-3.9755424,5.2722658,"3442967601","3100",christian,Église Notre-Dame d'Afrique,Eglise,./0.png
-3.9521292,5.3236683,"3484073274","3107",christian_protestant,Église Protestante CMA,Eglise,./0.png
-4.0700268,5.3575602,"3484361844","3100",christian,Saint Joseph Charpentier de Yopougon Gare,Eglise,./0.png
-4.0270336,5.3673285,"3494658810","3100",christian,Eglise CMA Williamsville,Eglise,./0.png
-3.9625693,5.2553387,"3504807380","3100",christian,,Eglise,./0.png
-3.7343289,5.206218,"3515695015","3300",muslim,Mosquée Sénégalaise,Mosquee,./1.png
-4.0107838,5.3960936,"3567172639","3300",muslim,Mosquee Sa'Ad ibn Wakass,Mosquee,./1.png
-4.0118058,5.3943008,"3586331587","3300",muslim,Mosquee Kone,Mosquee,./1.png
-4.0112442,5.3958036,"3586341706","3100",christian,,Eglise,./0.png
-4.0202139,5.395629,"3618208464","3300",muslim,UNA mosquée,Mosquee,./1.png
-3.9918604,5.4083414,"3627204495","3100",christian,La Grotte Mariale,Eglise,./0.png
-3.8041303,6.188315,"3646476215","3100",christian,Église des Témoins de Jéhovah,Eglise,./0.png
-3.7354615,5.2104463,"3652039690","3300",muslim,Mosquée La Guidance,Mosquee,./1.png
-3.7323117,5.2130368,"3675157837","3103",christian_evangelical,Mission Evangélique Rencontre et Vérité,Eglise,./0.png
-3.9939515,5.338762,"3676347229","3103",christian_evangelical,Église Evangile du Royaume,Eglise,./0.png
-3.7451102,5.2153542,"3679618839","3100",christian,Église de Pentécôte Unie,Eglise,./0.png
-3.744456,5.2129918,"3679623581","3103",christian_evangelical,Église de Pentécôte International de Côte d'Ivoire,Eglise,./0.png
-4.2245119,5.9324119,"3691189181","3300",muslim,Grande Mosquee Agboville,Mosquee,./1.png
-3.7337788,5.2159564,"3720980029","3100",christian,Église Témoin de Jéhova,Eglise,./0.png
-4.070607,5.3319518,"3745207655","3102",christian_catholic,Saint Mathias Kalemba Mulumba,Eglise,./0.png
-5.0581615,7.6842354,"3768709647","3103",christian_evangelical,La Cité des Vainqueurs,Eglise,./0.png
-5.0563463,7.6827169,"3768753835","3103",christian_evangelical,Mission Internationale d'évangélisation,Eglise,./0.png
-3.7347828,5.2095182,"3771273083","3100",christian,Paroisse Cœur Immaculé de Marie de l'Impérial,Eglise,./0.png
-6.4381864,9.966247,"3773052244","3100",christian,Église Catholique,Eglise,./0.png
-3.9545093,5.3021758,"3781514514","3300",muslim,mosqué Sénégalaise,Mosquee,./1.png
-3.9575604,5.3023465,"3781516229","3100",christian,EAD Koumassi Emmanuel,Eglise,./0.png
-4.0157705,5.350383,"3821223250","3102",christian_catholic,Église saint Luc Banabakintu,Eglise,./0.png
-3.4956236,6.7203352,"3849196435","3100",christian,Église Pantécôte,Eglise,./0.png
-5.6391147,9.459846,"3896838117","3300",muslim,Grand mosquée de Korhogo,Mosquee,./1.png
-3.7342349,5.195747,"3902907066","3100",christian,Cathédrale du Sacré Coeur de Grand-Bassam,Eglise,./0.png
-3.7545333,5.2142565,"3928811755","3300",muslim,,Mosquee,./1.png
-3.7411621,5.2084528,"3929762019","3103",christian_evangelical,Assemblee de Dieu,Eglise,./0.png
-3.7379378,5.2078861,"3929770995","3300",muslim,,Mosquee,./1.png
-3.747553,5.2088663,"3929773659","3300",muslim,,Mosquee,./1.png
-3.7578163,5.2116796,"3929784308","3102",christian_catholic,Saint Esprit,Eglise,./0.png
-4.0555202,5.3229631,"3930702860","3100",christian,Gmeos,Eglise,./0.png
-3.7370027,5.2117502,"3932121200","3103",christian_evangelical,Meira,Eglise,./0.png
-4.0499793,5.3221043,"3936392902","3100",christian,Église Christ Embassy Koweit,Eglise,./0.png
-4.0510134,5.3220854,"3936405762","3300",muslim,Mosquée du Koweit,Mosquee,./1.png
-4.0512803,5.3221001,"3936409831","3100",christian,Église Miderj,Eglise,./0.png
-4.0518295,5.3220996,"3936421047","3100",christian,Église Evangelique des Assemblées de Dieu Temple Peniel,Eglise,./0.png
