X,Y,ID,PARTS,NOM,CODE,CLASSIF,SOUS_PREF,DEPART,REGION,icon_url
-3.5084098579444,7.77932476119623,"4386","1",YAKASSE (BINI),"1","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-2.93778104226849,7.77879224271545,"4387","1",TANO KOUADJOKOUTOU,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-2.9169158734586,7.7781628259966,"4388","1",SIAKAKROM,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.23776231223007,7.77270500769578,"4389","1",TEHUI,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.96383677362237,7.77172608761,"4390","1",KEKERENI,"2","1",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.39319143377848,7.76972866413752,"4391","1",BOUKO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.32044152415803,7.77024174752521,"4392","1",ADJOUMANIBANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.28361671077194,7.76665762020374,"4393","1",KOUAKPU BLEKRO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.11531293655711,7.76423773689934,"4394","1",YANVO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.26457046399256,7.76458631259044,"4395","1",ASSOUMAN-BANGO (ASSA,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.66058936215888,7.76032376026207,"4396","1",AMANTCHIN OU BOKASSO,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.01029488897466,7.76051117294329,"4397","1",ADANDIA,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-2.91932661613694,7.75703888198541,"4398","1",PAPAKRO,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.29492257462728,7.75345530876534,"4399","1",KOUAME-NAGARE,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.1825941583426,7.75165574703143,"4400","1",AMADOU ADJEMIAN,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.51915772857006,7.74979101520671,"4401","1",AFFERY,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.84699484997999,7.74837300330323,"4402","1",KPENDEOUA,"1","0",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.9863862069922,7.74592984893619,"4403","1",YAOKRO,"1","1",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.9045117327036,7.74704110457344,"4404","1",LAZALEKRO,"1","0",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.84110278381697,7.74425095786488,"4405","1",ATOUMANBO,"1","0",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.06772192119046,7.74130622145675,"4406","1",SIEDJA,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.7286114474242,7.74004245195349,"4407","1",KOUASSI BILEKRO,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.05435955421508,7.73919088389224,"4408","1",MEREKOU,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.19392012334393,7.74025072397541,"4409","1",DJIDJIRE,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.50957571766959,7.73448999284693,"4410","1",MISSOUMIHIAN 2,"1","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.91549718000314,7.73312578686959,"4411","1",DJANDJAKRO,"1","0",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.82738996202815,7.73077935158589,"4412","1",KOTOBOU,"1","0",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.94186425439969,7.72992970264605,"4413","1",PERE,"1","1",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.49790841205198,7.72650853219413,"4414","1",MISSOUMIHIAN 1,"2","1",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.22625886394165,7.72495875362903,"4415","1",IGUELA,"1","1",TANDA,TANDA,ZANZAN,./0.png
-3.85290647786733,7.72389078677522,"4416","1",N'ZUEFOUFOUE,"1","0",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-2.89887210294844,7.72185088265684,"4417","1",MANTOUKOUA,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.08143558079819,7.72138895309029,"4418","1",FODJA,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.900920058242,7.71676713508251,"4419","1",ADIAMARA,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.07027386508746,7.71593639551364,"4420","1",KOUATOUTOU,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.12860357015684,7.715029296667,"4421","1",ABOKOUMAN,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.28126077472019,7.71528605965819,"4422","1",PALA SIAGNI/PALA,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.72203516330734,7.71490634640743,"4423","1",AMAPO KOUASSIKRO,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.01149815648552,7.71458968409228,"4424","1",DATEKRO,"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.3661286189286,7.71145807628502,"4425","1",KOUAME BONIKRO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.99342812897473,7.70921128467583,"4426","1",HIANGO,"2","1",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.49499895327746,7.71069018718189,"4427","1",ESSIANTOUA,"1","0",KOUASSI-DATEKRO,TANDA,ZANZAN,./0.png
-3.10164391692049,7.70926287298473,"4428","1",KOROBO,"1","1",TANDA,TANDA,ZANZAN,./0.png
-2.97841962121305,7.70046927214303,"4429","1",ASSUEFRY,"3","1",ASSUEFRY,TANDA,ZANZAN,./0.png
-3.96750958676615,7.70213650914161,"4430","1",BETIE,"1","1",PRIKRO,M'BAHIAKRO,N'ZI COMOE,./0.png
-3.2418090619507,7.70344404380089,"4431","1",DIBIBANGO,"1","0",TANDA,TANDA,ZANZAN,./0.png
-3.36842302719044,7.70201402060703,"4432","1",N'GARAOUA,"1","0",TANDA,TANDA,ZANZAN,./0.png
-2.93005105878598,7.70112020230555,"4433","1",ADIOPENA (ADEPENA),"1","0",ASSUEFRY,TANDA,ZANZAN,./0.png
